model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,NARMA10_Chaotic,0.01121136945786366,6.208853872808762e-05,0.005537997740725481,0.1,1e-08,2,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010749849337713027,9.961237326492966e-05,0.009266397149908491,0.1,1e-08,4,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010748178210121074,8.741092910870924e-05,0.00813262744623999,0.1,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01076388382942218,6.014428720140469e-05,0.005587600921240462,0.1,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01108289032665133,0.00024175704345091748,0.021813537473122663,0.1,1e-08,6,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011169727572582284,0.00017979681041551974,0.016096794594781083,0.1,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011248251882505512,0.00017785076580793075,0.015811413868189007,0.1,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011200453361439874,0.0003077209992264789,0.02747397710577314,0.1,1e-08,8,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011164785636142944,0.00019948479622785802,0.017867319868827617,0.1,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011187659642937192,0.0002047720206925847,0.018303383122837313,0.1,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01023939313850929,0.00020822556526601423,0.020335733031179318,0.1,1e-08,10,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010119972093565932,0.000117120206502989,0.011573174848718367,0.1,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010201732903063868,9.855531641197553e-05,0.009660644652084214,0.1,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011898486892400894,2.3658473959398572e-17,1.9883598791463415e-15,0.3,1e-08,1,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011898486892400893,2.3484384221357494e-17,1.9737286290037492e-15,0.3,1e-08,1,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01189848689240089,2.5740737316010563e-17,2.1633622450305164e-15,0.3,1e-08,1,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010868246349438036,0.0003382231549489281,0.031120306264167136,0.3,1e-08,2,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010780057009511082,2.2683812395157225e-05,0.002104238630198675,0.3,1e-08,2,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.0107987193995551,2.0402613746360336e-05,0.0018893549310301468,0.3,1e-08,2,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010507419509509144,5.219476907841035e-05,0.0049674203101127195,0.3,1e-08,4,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010496831299800528,4.971314445841785e-05,0.004736014425549789,0.3,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010480662505605625,4.58168782179229e-05,0.004371563171070298,0.3,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010483382049146301,0.00014336969370858706,0.013675900872110461,0.3,1e-08,6,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.0104609289777394,6.71444286189484e-05,0.006418591385318656,0.3,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010483237940559532,4.2651432514525045e-05,0.0040685361485030425,0.3,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01032806458232739,0.00017955561190267273,0.017385213896698015,0.3,1e-08,8,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010210764795685204,7.740771097561284e-05,0.007580990506051346,0.3,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010211910399721696,7.806450508148635e-05,0.007644456524375089,0.3,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009820721537674094,6.27443129397901e-05,0.006388971797957143,0.3,1e-08,10,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009762884884265396,0.00010531416545250082,0.01078719729884689,0.3,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.00978121677307077,5.14449189193331e-05,0.005259562293003163,0.3,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011407215922660757,2.3957232916072467e-17,2.100182295005107e-15,0.5,1e-08,1,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011407215922660757,2.59892925742006e-17,2.2783203851320232e-15,0.5,1e-08,1,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011407215922660753,2.0823251597229027e-17,1.82544555467413e-15,0.5,1e-08,1,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010919399271939694,0.00030418087509338,0.02785692394956688,0.5,1e-08,2,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010777857235302467,2.6343111995960024e-05,0.0024441882482609018,0.5,1e-08,2,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010794080625809265,2.766087924176535e-05,0.0025625970567263135,0.5,1e-08,2,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.0106634652272475,4.8038215491518235e-05,0.0045049347906879296,0.5,1e-08,4,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010602419078547436,5.202433594958234e-05,0.0049068364081973105,0.5,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010621933765470775,6.502084146253162e-05,0.006121375156178996,0.5,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010603139567060688,0.00022932226089153706,0.021627769722464177,0.5,1e-08,6,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010550003777020674,5.801192502763623e-05,0.005498758697508147,0.5,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010594030437226608,5.646331867659285e-05,0.005329729701189558,0.5,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010230882111621955,0.00020854427137841197,0.020383801621710836,0.5,1e-08,8,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010077221441622057,6.470571306889984e-05,0.006420987515630561,0.5,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01005022242129228,5.2028736731585186e-05,0.005176874157666176,0.5,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009551559144606174,9.147021406974566e-05,0.009576469420848372,0.5,1e-08,10,1.0,0.0,2025,,,
