data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,beta,gamma,n,tau,dt,T,median_mse_one_step_ahead,median_mse_autonomous,n_points,ar_coeffs,ma_coeffs
Hyperchaotic_(tau=100),0.5,1e-08,4,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.00047547233274842723,85.38505803745616,,,
Hyperchaotic_(tau=100),0.5,1e-08,5,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005149140249797303,119.02982048465111,,,
Hyperchaotic_(tau=100),0.5,1e-08,5,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0004857308695222515,81.23151560328391,,,
Hyperchaotic_(tau=100),0.5,1e-08,5,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0004915953873135957,62.852675917941994,,,
Hyperchaotic_(tau=100),0.5,1e-08,5,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0004969265400046961,57.40431236822905,,,
Hyperchaotic_(tau=100),0.5,1e-08,6,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.000527288390778073,818.1363397749986,,,
Hyperchaotic_(tau=100),0.5,1e-08,6,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.000498616919525372,92.37819678960273,,,
Hyperchaotic_(tau=100),0.5,1e-08,6,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005051842787402756,59.0748182746371,,,
Hyperchaotic_(tau=100),0.5,1e-08,6,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005075141266492678,73.17881794830478,,,
Hyperchaotic_(tau=100),0.5,1e-08,7,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005716038253390114,928.6954921598369,,,
Hyperchaotic_(tau=100),0.5,1e-08,7,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005112041944958853,177.24981555744944,,,
Hyperchaotic_(tau=100),0.5,1e-08,7,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005203883464212388,69.48946746408897,,,
Hyperchaotic_(tau=100),0.5,1e-08,7,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005137673581465916,51.78662355245925,,,
Hyperchaotic_(tau=100),0.5,1e-08,8,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.000547821577764978,505.8539318856035,,,
Hyperchaotic_(tau=100),0.5,1e-08,8,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005230287952709896,155.26924814304186,,,
Hyperchaotic_(tau=100),0.5,1e-08,8,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005273034218404761,76.22847880182884,,,
Hyperchaotic_(tau=100),0.5,1e-08,8,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0005280846824775411,41.30513781882243,,,
Hyperchaotic_(tau=100),0.99,1e-08,4,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,1.731527297950261e-05,26.145350232094117,,,
Hyperchaotic_(tau=100),0.99,1e-08,4,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,8.12104010597139e-06,0.11999079434997427,,,
Hyperchaotic_(tau=100),0.99,1e-08,4,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,1.1895114366561303e-05,0.11008448001657861,,,
Hyperchaotic_(tau=100),0.99,1e-08,4,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,8.195700629287643e-06,12.623803784713187,,,
Hyperchaotic_(tau=100),0.99,1e-08,5,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,1.6628213002089068e-05,35.80242970781341,,,
Hyperchaotic_(tau=100),0.99,1e-08,5,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,5.552958901026107e-06,0.11975051377528008,,,
Hyperchaotic_(tau=100),0.99,1e-08,5,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,7.100799893953599e-06,8.287245588880813,,,
Hyperchaotic_(tau=100),0.99,1e-08,5,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,8.619332023039296e-06,12.006753411207807,,,
Hyperchaotic_(tau=100),0.99,1e-08,6,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,1.7632422888545752e-05,75.84921654565208,,,
Hyperchaotic_(tau=100),0.99,1e-08,6,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,5.691155632366255e-06,15.753666903932626,,,
Hyperchaotic_(tau=100),0.99,1e-08,6,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,7.638341672781246e-06,5.069023963863337,,,
Hyperchaotic_(tau=100),0.99,1e-08,6,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,9.333727653141446e-06,14.883188423737758,,,
Hyperchaotic_(tau=100),0.99,1e-08,7,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,3.498504023520666e-05,320.9649349214091,,,
Hyperchaotic_(tau=100),0.99,1e-08,7,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,9.910447907478683e-06,29.54264150667455,,,
Hyperchaotic_(tau=100),0.99,1e-08,7,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,8.922409812830764e-06,15.29494478222637,,,
Hyperchaotic_(tau=100),0.99,1e-08,7,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,8.533688455685424e-06,16.036342886817206,,,
Hyperchaotic_(tau=100),0.99,1e-08,8,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,2.079149628261437e-05,78.03242291227293,,,
